"pt","NB_km","NB_ipcw","bias_km","bias_ipcw","ci_km_lower","ci_km_upper","ci_ipcw_lower","ci_ipcw_upper","NB_True","cover_km","cover_ipcw"
0.01,0.381076864936508,0.383522542480769,0.0125913774877347,0.0101456999434737,0.346808009504478,0.420582842517016,0.349434041704144,0.422655073270765,0.393668242424242,TRUE,TRUE
0.05,0.360754451501508,0.362118906970871,0.0104385484984916,0.00907409302912932,0.325659334201926,0.399685659571769,0.32645710020267,0.400933736220248,0.371193,TRUE,TRUE
0.1,0.334334388982427,0.337236568807469,0.0125114999064617,0.00960932008142013,0.297594116734781,0.372854947058017,0.299588928813723,0.376355810874773,0.346845888888889,TRUE,TRUE
0.25,0.287732065961536,0.291677989983337,-0.000194065961536427,-0.00413998998333703,0.248645976497668,0.325387191785275,0.252095934036292,0.331251487495065,0.287538,TRUE,TRUE
0.5,0.203416777083949,0.211393014737118,0.00891522291605129,0.000938985262881747,0.160738050837272,0.24302792306798,0.168881304130627,0.254402050039624,0.212332,TRUE,TRUE
0.75,0.177564473906362,0.17926175493132,-0.0299324739063619,-0.0316297549313199,0.141031349982973,0.212030930130879,0.141887450051488,0.215503843532422,0.147632,TRUE,TRUE
0.01,0.358769000736697,0.360433313339962,0.0348992416875453,0.0332349290842807,0.320197853330794,0.403874003670585,0.321610848750756,0.407458575228313,0.393668242424242,TRUE,TRUE
0.05,0.340797532389588,0.341540921302885,0.0303954676104119,0.0296520786971148,0.302158198249309,0.387683086754353,0.300561861240749,0.388081447596018,0.371193,TRUE,TRUE
0.1,0.318539371422484,0.318579418008574,0.0283065174664046,0.0282664708803145,0.279333133361105,0.366556793659719,0.277926923023954,0.364899032261749,0.346845888888889,TRUE,TRUE
0.25,0.277842145380002,0.277550801923486,0.00969585461999772,0.00998719807651405,0.237696131200712,0.325481921982418,0.238220958018366,0.324701459869393,0.287538,TRUE,TRUE
0.5,0.203742949658292,0.202971397951452,0.0085890503417079,0.00936060204854824,0.160489045003676,0.251028212505908,0.159803236043311,0.251333365192862,0.212332,TRUE,TRUE
0.75,0.174386742729546,0.177015663120201,-0.0267547427295461,-0.0293836631202007,0.133247186147186,0.21911112281608,0.131049047874036,0.224106459500403,0.147632,TRUE,TRUE
0.01,0.370561246083773,0.368896968913827,0.0231069963404697,0.0247712735104159,0.336485801010919,0.405811992767734,0.332588634881413,0.404345294118048,0.393668242424242,TRUE,TRUE
0.05,0.347818060033982,0.343498516500741,0.0233749399660182,0.0276944834992594,0.312296420938929,0.385121757533349,0.306059462102104,0.379779987805605,0.371193,TRUE,TRUE
0.1,0.33122471053528,0.326766302565095,0.015621178353609,0.0200795863237939,0.293382390600815,0.370589932208487,0.287673459050607,0.36587670601083,0.346845888888889,TRUE,TRUE
0.25,0.262202706290487,0.259624794565176,0.0253352937095133,0.0279132054348237,0.223084212973704,0.306418329033584,0.220290897508581,0.301368808199602,0.287538,TRUE,TRUE
0.5,0.212083617222188,0.208818523095159,0.000248382777812084,0.00351347690484097,0.17094132016026,0.257273048352483,0.166565145841988,0.253069744853132,0.212332,TRUE,TRUE
0.75,0.117310002861879,0.112440658830504,0.0303219971381211,0.035191341169496,0.0678521186983362,0.169748506260304,0.0612887237908935,0.167312561357223,0.147632,TRUE,TRUE
0.01,0.366121146833737,0.359978546341738,0.0275470955905054,0.0336896960825047,0.326337689788948,0.40698443739487,0.320302869426198,0.399347890923808,0.393668242424242,TRUE,TRUE
0.05,0.344086590149094,0.340798177083045,0.027106409850906,0.0303948229169552,0.303511688751787,0.385461133897653,0.299748824373883,0.382340480481619,0.371193,TRUE,TRUE
0.1,0.322781700682566,0.320559266805544,0.0240641882063227,0.0262866220833446,0.281500956898907,0.364169101900185,0.280008383371675,0.361654663956248,0.346845888888889,TRUE,TRUE
0.25,0.270406617658187,0.273150605881238,0.0171313823418129,0.0143873941187616,0.228690044875768,0.311164449603078,0.232070432224583,0.311740392556882,0.287538,TRUE,TRUE
0.5,0.229140990927569,0.233607778467655,-0.016808990927569,-0.0212757784676554,0.190710631575703,0.274021572524542,0.195186452438281,0.278583908210121,0.212332,TRUE,TRUE
0.75,0.171524239197895,0.173842428592833,-0.023892239197895,-0.0262104285928327,0.131147181573754,0.211145235788594,0.137627937008206,0.207031478679914,0.147632,TRUE,TRUE
0.01,0.402416676629306,0.399466858352118,-0.00874843420506366,-0.00579861592787528,0.362362229007172,0.441525141675633,0.3590277508922,0.438937248386028,0.393668242424242,TRUE,TRUE
0.05,0.378957307287548,0.376446803120693,-0.00776430728754779,-0.00525380312069257,0.335925791003583,0.419839159797757,0.333824068142816,0.416767437585756,0.371193,TRUE,TRUE
0.1,0.354326084490657,0.353075385404805,-0.00748019560176777,-0.00622949651591603,0.311395243806328,0.39550186592346,0.308908625699648,0.394215049600234,0.346845888888889,TRUE,TRUE
0.25,0.297172173279819,0.296949457177109,-0.00963417327981858,-0.00941145717710934,0.255496136999148,0.340201433317475,0.255463316255826,0.339237731604791,0.287538,TRUE,TRUE
0.5,0.210454192823052,0.208398809353936,0.00187780717694772,0.00393319064606354,0.169060402999346,0.254517008980527,0.162367020837318,0.255258481413298,0.212332,TRUE,TRUE
0.75,0.145063345861327,0.138563185473526,0.00256865413867297,0.00906881452647362,0.104220514826126,0.182017847574621,0.0906589143676217,0.181960966834861,0.147632,TRUE,TRUE
